generation_project,timestamp,DispatchEmissions_tCO2_per_typical_yr,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,gen_dbid,gen_energy_source,gen_load_zone,gen_tech,period,tp_weight_in_year_hrs
S-NG_CC,2025061500,3664.42097837,4.7,10.30005,42186.120786,S-NG_CC,NaturalGas,South,NG_CC,2020,2191.5
C-Wind-2,2025061500,0.0,0.0,0.0,0.0,C-Wind-2,Wind,Central,Wind,2020,2191.5
S-Residential_PV,2025011612,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
S-Commercial_PV,2035011512,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2030,8766.0
N-Biomass_IGCC_CCS,2025011600,-0.0,0.0,0.0,0.0,N-Biomass_IGCC_CCS,BioSolid,North,Biomass_IGCC_CCS,2020,1095.744
C-Central_PV-2,2025011600,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,1095.744
N-Nuclear,2025011500,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
S-Central_PV-1,2025011512,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
C-Commercial_PV,2025011600,0.0,0.0,0.0,0.0,C-Commercial_PV,Solar,Central,Commercial_PV,2020,1095.744
N-Central_PV-1,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-1,Solar,North,Central_PV,2020,1095.744
N-NG_CC_CCS,2025011500,0.0,0.0,0.0,0.0,N-NG_CC_CCS,NaturalGas,North,NG_CC_CCS,2020,1095.744
S-Central_PV-1,2025011600,0.0,0.0,0.0,0.0,S-Central_PV-1,Solar,South,Central_PV,2020,1095.744
N-Wind-2,2025011600,0.0,0.0,0.0,0.0,N-Wind-2,Wind,North,Wind,2020,1095.744
C-Biomass_IGCC,2035011512,0.0,0.0,0.0,0.0,C-Biomass_IGCC,BioSolid,Central,Biomass_IGCC,2030,8766.0
N-Biomass_IGCC,2025011500,0.0,0.0,0.0,0.0,N-Biomass_IGCC,BioSolid,North,Biomass_IGCC,2020,1095.744
S-Commercial_PV,2025061500,0.0,0.0,0.0,0.0,S-Commercial_PV,Solar,South,Commercial_PV,2020,2191.5
N-Coal_IGCC,2025061512,-7.39048838128e-13,-4.4408920985e-16,-9.73221503386e-16,-5.9193278279e-12,N-Coal_IGCC,Coal,North,Coal_IGCC,2020,2191.5
S-Central_PV-2,2025011512,0.0,0.0,0.0,0.0,S-Central_PV-2,Solar,South,Central_PV,2020,1095.744
N-Wind-1,2025011600,0.0,0.0,0.0,0.0,N-Wind-1,Wind,North,Wind,2020,1095.744
C-NG_CC,2025011600,908.127561258,2.32954834318,2.55258861975,6969.79217445,C-NG_CC,NaturalGas,Central,NG_CC,2020,1095.744
C-Nuclear,2025011600,0.0,0.0,0.0,0.0,C-Nuclear,Uranium,Central,Nuclear,2020,1095.744
S-NG_GT,2025011500,0.0,0.0,0.0,0.0,S-NG_GT,NaturalGas,South,NG_GT,2020,1095.744
S-Residential_PV,2025011600,0.0,0.0,0.0,0.0,S-Residential_PV,Solar,South,Residential_PV,2020,1095.744
N-Residential_PV,2035011512,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2030,8766.0
C-Residential_PV,2025011600,0.0,0.0,0.0,0.0,C-Residential_PV,Solar,Central,Residential_PV,2020,1095.744
N-Central_PV-2,2025011500,0.0,0.0,0.0,0.0,N-Central_PV-2,Solar,North,Central_PV,2020,1095.744
C-Central_PV-2,2025061512,0.0,0.0,0.0,0.0,C-Central_PV-2,Solar,Central,Central_PV,2020,2191.5
N-Residential_PV,2025011612,0.0,0.0,0.0,0.0,N-Residential_PV,Solar,North,Residential_PV,2020,1095.744
S-Geothermal,2035011512,0.0,2.90574225,25.4717365635,881220.198151,S-Geothermal,Geothermal,South,Geothermal,2030,8766.0
N-Nuclear,2025011512,0.0,0.0,0.0,0.0,N-Nuclear,Uranium,North,Nuclear,2020,1095.744
