PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,6.93433679009,68117953.7324,9725799.27681,1402556.52
2030,5.79834587843,46113845.4711,10724771.2937,1849626.0
