BLD_YRS_FOR_TX_1	BLD_YRS_FOR_TX_2	BuildTx
N-C	2030	0.0
N-S	2020	-4.44089209850063e-16
C-S	2020	0.0
N-S	2026	2.0
N-S	2030	0.250363495512143
N-C	2020	0.0
C-S	2030	0.453788574013122
C-S	Legacy	6.0
N-C	Legacy	3.0
