BLD_YRS_FOR_TX_1	BLD_YRS_FOR_TX_2	BuildTx
N-C	2030	0.0368471280359035
C-S	2020	0.0
N-C	2020	0.0
C-S	2030	2.24334355888697
C-S	Legacy	6.0
N-C	Legacy	3.0
