LOCAL_TD_BLD_YRS_1	LOCAL_TD_BLD_YRS_2	BuildLocalTD
Central	2020	0.723864836325238
North	Legacy	5.5
Central	Legacy	3.5
South	2030	2.11193241816262
North	2020	0.835797254487857
Central	2030	2.11193241816262
North	2030	2.11193241816262
South	Legacy	9.5
South	2020	1.0596620908131
