PERIOD,EnergyCostReal_per_MWh,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,SystemDemand_MWh
2020,6.99265389271,68690819.1439,9807592.30933,1402556.52
2030,5.99537056676,47680769.2493,11089193.2799,1849626.0
